id,categoria,material,ancho_m,alto_m,peso_kg,tiempo_fabricacion_h,precio,defecto
M128,escritorio,metal,1.59,0.76,15.9,6,433000,no
M309,biblioteca,mixto,1.16,1.97,26.3,11,362000,si
M169,mesa,madera,1.46,0.74,39.7,10,539000,si
M032,silla,madera,0.48,0.98,5.3,2,114000,no
M144,escritorio,madera,1.07,0.72,28.0,9,386000,no
M495,cama,metal,1.63,0.46,38.6,10,718000,no
M451,cama,tela,1.07,0.4,49.9,11,619000,si
M226,estante,metal,0.74,1.92,13.6,6,181000,no
M335,biblioteca,madera,1.01,1.82,29.9,11,314000,no
M123,escritorio,metal,1.56,0.73,17.5,5,475000,no
M021,silla,tela,0.52,0.89,11.0,3,118000,si
M328,biblioteca,madera,1.16,1.82,32.2,9,245000,no
M295,estante,metal,0.8,1.68,17.1,4,162000,no
M127,escritorio,madera,1.1,0.79,26.8,9,317000,si
M035,silla,tela,0.64,0.96,10.2,2,150000,si
M122,escritorio,mixto,1.22,0.74,20.1,6,452000,no
M423,sofa,tela,2.35,0.94,46.6,10,862000,si
M049,silla,metal,0.48,1.02,8.4,2,123000,no
M266,estante,mixto,0.89,1.93,15.5,6,206000,no
M108,escritorio,madera,1.28,0.73,29.6,7,318000,no
M315,biblioteca,madera,1.17,1.91,25.6,6,313000,no
M095,escritorio,tela,1.58,0.81,23.2,6,340000,no
M194,mesa,madera,0.97,0.76,21.2,10,367000,no
M478,cama,madera,1.64,0.48,54.2,12,638000,si
M356,biblioteca,madera,0.84,1.89,20.0,10,238000,no
M063,silla,tela,0.54,1.08,7.2,3,128000,no
M218,mesa,madera,1.05,0.72,39.4,8,509000,si
M137,escritorio,metal,1.05,0.72,19.7,6,430000,no
M310,biblioteca,metal,0.98,1.83,38.6,12,289000,no
M433,cama,madera,1.12,0.37,31.8,8,684000,no
M425,sofa,tela,1.97,0.87,46.1,16,711000,si
M459,cama,metal,1.93,0.37,38.8,13,867000,no
M103,escritorio,madera,1.44,0.76,19.8,9,381000,no
M322,biblioteca,madera,1.05,1.87,38.6,10,250000,no
M460,cama,mixto,1.03,0.54,35.9,14,799000,no
M200,mesa,madera,1.07,0.75,41.0,5,422000,no
M314,biblioteca,madera,1.18,2.11,23.2,11,318000,no
M379,sofa,tela,2.29,0.88,71.8,10,996000,si
M373,sofa,tela,2.37,0.9,73.3,15,870000,si
M073,silla,metal,0.48,0.95,9.3,2,135000,no
M294,estante,metal,1.03,1.81,24.7,4,207000,no
M457,cama,metal,1.86,0.46,56.8,11,773000,no
M366,sofa,tela,2.18,0.86,53.2,18,899000,si
M253,estante,mixto,1.08,1.89,22.0,7,162000,no
M184,mesa,madera,1.19,0.75,42.1,8,508000,no
M186,mesa,metal,1.34,0.76,35.0,6,431000,no
M233,estante,metal,1.11,1.77,12.2,4,189000,no
M217,mesa,madera,1.3,0.76,33.7,8,369000,no
M020,silla,metal,0.65,1.0,8.1,5,127000,si
M276,estante,madera,1.14,1.75,12.7,4,157000,no
M099,escritorio,madera,1.31,0.76,16.2,9,422000,no
M244,estante,madera,0.68,1.6,19.5,3,171000,no
M117,escritorio,madera,1.16,0.74,20.5,6,299000,no
M246,estante,madera,1.15,1.87,14.9,4,186000,si
M450,cama,mixto,1.29,0.53,56.7,10,679000,no
M434,cama,madera,1.67,0.42,32.1,10,651000,no
M202,mesa,metal,0.93,0.72,32.3,6,437000,no
M252,estante,mixto,0.7,1.86,11.4,6,195000,si
M301,biblioteca,mixto,0.88,2.0,27.0,8,341000,no
M490,cama,madera,1.84,0.41,53.1,9,593000,no
M489,cama,madera,1.19,0.51,33.5,11,642000,no
M288,estante,metal,0.97,1.71,17.4,4,158000,no
M265,estante,madera,0.76,1.92,16.6,4,157000,no
M413,sofa,tela,2.14,0.97,69.6,10,882000,no
M429,sofa,tela,2.59,0.86,75.1,13,835000,si
M126,escritorio,madera,1.51,0.7,20.1,5,371000,no
M367,sofa,madera,1.86,0.93,54.7,11,765000,si
M440,cama,tela,1.37,0.35,32.4,14,607000,si
M168,mesa,madera,1.71,0.75,24.9,7,433000,no
M259,estante,madera,0.85,1.93,21.2,3,198000,no
M353,biblioteca,madera,1.0,2.2,31.6,12,295000,no
M235,estante,madera,0.8,1.51,16.7,5,170000,no
M135,escritorio,metal,1.04,0.71,25.8,6,469000,no
M120,escritorio,madera,1.39,0.78,15.2,4,373000,no
M377,sofa,tela,2.21,0.81,56.4,10,875000,si
M257,estante,madera,0.71,1.85,19.5,7,173000,si
M204,mesa,metal,1.4,0.76,20.1,9,556000,no
M124,escritorio,metal,1.05,0.78,16.1,4,348000,no
M473,cama,mixto,1.74,0.47,44.9,14,819000,no
M383,sofa,tela,2.45,0.88,78.3,11,982000,si
M031,silla,tela,0.46,1.0,5.0,4,122000,si
M019,silla,metal,0.5,1.06,7.9,3,147000,no
M393,sofa,madera,2.54,0.96,59.9,18,806000,no
M396,sofa,tela,2.08,0.84,58.3,18,798000,si
M345,biblioteca,madera,1.04,2.06,30.8,10,314000,no
M487,cama,madera,1.1,0.54,34.0,8,650000,si
M333,biblioteca,madera,1.07,2.0,26.4,10,287000,no
M255,estante,mixto,0.65,1.55,10.7,3,164000,no
M151,escritorio,metal,1.01,0.81,26.3,8,437000,no
M258,estante,madera,1.09,1.56,22.3,7,188000,no
M162,mesa,metal,1.3,0.76,23.5,8,551000,no
M359,biblioteca,metal,1.18,2.07,38.9,9,407000,si
M419,sofa,tela,2.54,0.87,60.1,15,868000,si
M064,silla,tela,0.47,0.89,10.4,2,116000,no
M249,estante,madera,1.02,1.97,10.7,5,138000,si
M264,estante,mixto,0.75,1.61,23.1,5,193000,si
M097,escritorio,metal,1.46,0.79,19.3,6,376000,no
M270,estante,metal,0.99,1.87,20.6,7,234000,no
M229,estante,madera,1.06,1.87,16.4,4,153000,no
M240,estante,mixto,1.06,1.53,11.5,6,193000,no
M018,silla,tela,0.46,0.89,9.8,4,127000,no
M221,mesa,metal,1.73,0.73,27.5,6,430000,no
M312,biblioteca,madera,1.04,1.87,27.3,12,248000,no
M193,mesa,madera,1.15,0.76,42.2,5,374000,no
